UPC: 069055873366, BASE TOTAL COST: 64.07, BASE DOLLAR ROI: 15.92, BASE PERCENT ROI: 25, GCG TOTAL COST: 62.8, GCG DOLLAR ROI: 17.19, GCG PERCENT ROI: 27
UPC: 069055878965, BASE TOTAL COST: 159.97, BASE DOLLAR ROI: 5.02, BASE PERCENT ROI: 3, GCG TOTAL COST: 156.79, GCG DOLLAR ROI: 8.2, GCG PERCENT ROI: 5
UPC: 069055879801, BASE TOTAL COST: 265.97, BASE DOLLAR ROI: 34.02, BASE PERCENT ROI: 13, GCG TOTAL COST: 260.67, GCG DOLLAR ROI: 39.32, GCG PERCENT ROI: 15
UPC: 069055879597, BASE TOTAL COST: 95.55, BASE DOLLAR ROI: 36.44, BASE PERCENT ROI: 38, GCG TOTAL COST: 93.66, GCG DOLLAR ROI: 38.33, GCG PERCENT ROI: 41
UPC: 069055879771, BASE TOTAL COST: 43.56, BASE DOLLAR ROI: 0.43, BASE PERCENT ROI: 1, GCG TOTAL COST: 42.7, GCG DOLLAR ROI: 1.29, GCG PERCENT ROI: 3
UPC: 069055126301, BASE TOTAL COST: 57.51, BASE DOLLAR ROI: 12.48, BASE PERCENT ROI: 22, GCG TOTAL COST: 56.37, GCG DOLLAR ROI: 13.62, GCG PERCENT ROI: 24
UPC: 848971009093, BASE TOTAL COST: 195.29, BASE DOLLAR ROI: 44.7, BASE PERCENT ROI: 23, GCG TOTAL COST: 191.47, GCG DOLLAR ROI: 48.52, GCG PERCENT ROI: 25
UPC: 848971024904, BASE TOTAL COST: 194.79, BASE DOLLAR ROI: 45.2, BASE PERCENT ROI: 23, GCG TOTAL COST: 190.97, GCG DOLLAR ROI: 49.02, GCG PERCENT ROI: 26
UPC: 848971009017, BASE TOTAL COST: 168.85, BASE DOLLAR ROI: 39.14, BASE PERCENT ROI: 23, GCG TOTAL COST: 165.54, GCG DOLLAR ROI: 42.45, GCG PERCENT ROI: 26
UPC: 848971008959, BASE TOTAL COST: 178.89, BASE DOLLAR ROI: 41.1, BASE PERCENT ROI: 23, GCG TOTAL COST: 175.39, GCG DOLLAR ROI: 44.6, GCG PERCENT ROI: 25
